Data Term,Data Year,Row,Term Type,Updated,County Count,County,Data Term,Latitude (generated),Longitude (generated),Rank of Headcount Rank,Headcount
Fall 2017,2017,37199,Fall,9/5/17,1,Yancey,Fall 2017,35.8917,-82.2975,84,9
Fall 2017,2017,37197,Fall,9/5/17,1,Yadkin,Fall 2017,36.1664,-80.657,60,27
Fall 2017,2017,37195,Fall,9/5/17,1,Wilson,Fall 2017,35.7201,-77.9431,34,79
Fall 2017,2017,37193,Fall,9/5/17,1,Wilkes,Fall 2017,36.2151,-81.1701,53,37
Fall 2017,2017,37191,Fall,9/5/17,1,Wayne,Fall 2017,35.3725,-77.9812,30,89
Fall 2017,2017,37189,Fall,9/5/17,1,Watauga,Fall 2017,36.2514,-81.7044,44,55
Fall 2017,2017,37187,Fall,9/5/17,1,Washington,Fall 2017,35.8405,-76.5773,90,7
Fall 2017,2017,37185,Fall,9/5/17,1,Warren,Fall 2017,36.3734,-78.1029,73,17
Fall 2017,2017,37183,Fall,9/5/17,1,Wake,Fall 2017,35.798,-78.6094,1,2910
Fall 2017,2017,37181,Fall,9/5/17,1,Vance,Fall 2017,36.3447,-78.3979,46,51
Fall 2017,2017,37179,Fall,9/5/17,1,Union,Fall 2017,35.0113,-80.5626,7,552
Fall 2017,2017,37177,Fall,9/5/17,1,Tyrrell,Fall 2017,35.7969,-76.2575,99,2
Fall 2017,2017,37175,Fall,9/5/17,1,Transylvania,Fall 2017,35.2253,-82.7697,60,27
Fall 2017,2017,37173,Fall,9/5/17,1,Swain,Fall 2017,35.4872,-83.5969,92,6
Fall 2017,2017,37171,Fall,9/5/17,1,Surry,Fall 2017,36.4,-80.7065,33,80
Fall 2017,2017,37169,Fall,9/5/17,1,Stokes,Fall 2017,36.409,-80.2393,63,23
Fall 2017,2017,37167,Fall,9/5/17,1,Stanly,Fall 2017,35.323,-80.2478,50,40
Fall 2017,2017,37165,Fall,9/5/17,1,Scotland,Fall 2017,34.8371,-79.484,70,19
Fall 2017,2017,37163,Fall,9/5/17,1,Sampson,Fall 2017,34.9352,-78.3612,47,46
Fall 2017,2017,37161,Fall,9/5/17,1,Rutherford,Fall 2017,35.3967,-81.9147,45,54
Fall 2017,2017,37159,Fall,9/5/17,1,Rowan,Fall 2017,35.6834,-80.5507,23,109
Fall 2017,2017,37157,Fall,9/5/17,1,Rockingham,Fall 2017,36.3943,-79.7777,35,76
Fall 2017,2017,37155,Fall,9/5/17,1,Robeson,Fall 2017,34.6272,-79.1436,41,61
Fall 2017,2017,37153,Fall,9/5/17,1,Richmond,Fall 2017,34.9947,-79.7277,54,36
Fall 2017,2017,37151,Fall,9/5/17,1,Randolph,Fall 2017,35.7161,-79.8027,22,139
Fall 2017,2017,37149,Fall,9/5/17,1,Polk,Fall 2017,35.2971,-82.1763,57,33
Fall 2017,2017,37147,Fall,9/5/17,1,Pitt,Fall 2017,35.5808,-77.3685,16,198
Fall 2017,2017,37145,Fall,9/5/17,1,Person,Fall 2017,36.3907,-78.9725,56,34
Fall 2017,2017,37143,Fall,9/5/17,1,Perquimans,Fall 2017,36.2279,-76.4477,100,1
Fall 2017,2017,37141,Fall,9/5/17,1,Pender,Fall 2017,34.5169,-77.9241,42,60
Fall 2017,2017,37139,Fall,9/5/17,1,Pasquotank,Fall 2017,36.3172,-76.3078,69,21
Fall 2017,2017,37137,Fall,9/5/17,1,Pamlico,Fall 2017,35.1476,-76.8618,84,9
Fall 2017,2017,37135,Fall,9/5/17,1,Orange,Fall 2017,36.0541,-79.1222,3,1304
Fall 2017,2017,37133,Fall,9/5/17,1,Onslow,Fall 2017,34.7213,-77.2486,19,152
Fall 2017,2017,37131,Fall,9/5/17,1,Northampton,Fall 2017,36.3559,-77.3693,79,13
Fall 2017,2017,37129,Fall,9/5/17,1,New Hanover,Fall 2017,34.159,-77.8974,10,383
Fall 2017,2017,37127,Fall,9/5/17,1,Nash,Fall 2017,35.9636,-77.977,29,93
Fall 2017,2017,37125,Fall,9/5/17,1,Moore,Fall 2017,35.2784,-79.4623,21,140
Fall 2017,2017,37123,Fall,9/5/17,1,Montgomery,Fall 2017,35.3237,-79.8985,71,18
Fall 2017,2017,37121,Fall,9/5/17,1,Mitchell,Fall 2017,35.9917,-82.1267,95,5
Fall 2017,2017,37119,Fall,9/5/17,1,Mecklenburg,Fall 2017,35.2586,-80.831,2,2021
Fall 2017,2017,37117,Fall,9/5/17,1,Martin,Fall 2017,35.8669,-77.195,83,11
Fall 2017,2017,37115,Fall,9/5/17,1,Madison,Fall 2017,35.8721,-82.6653,76,16
Fall 2017,2017,37113,Fall,9/5/17,1,Macon,Fall 2017,35.1625,-83.4796,58,29
Fall 2017,2017,37111,Fall,9/5/17,1,Mcdowell,Fall 2017,35.7389,-82.0433,62,24
Fall 2017,2017,37109,Fall,9/5/17,1,Lincoln,Fall 2017,35.485,-81.2181,25,103
Fall 2017,2017,37107,Fall,9/5/17,1,Lenoir,Fall 2017,35.2179,-77.6761,49,41
Fall 2017,2017,37105,Fall,9/5/17,1,Lee,Fall 2017,35.4674,-79.1892,36,71
Fall 2017,2017,37103,Fall,9/5/17,1,Jones,Fall 2017,35.0101,-77.4145,97,4
Fall 2017,2017,37101,Fall,9/5/17,1,Johnston,Fall 2017,35.5376,-78.3875,18,158
Fall 2017,2017,37099,Fall,9/5/17,1,Jackson,Fall 2017,35.2632,-83.1162,55,35
Fall 2017,2017,37097,Fall,9/5/17,1,Iredell,Fall 2017,35.7741,-80.9217,12,274
Fall 2017,2017,37095,Fall,9/5/17,1,Hyde,Fall 2017,35.5164,-76.2309,95,5
Fall 2017,2017,37093,Fall,9/5/17,1,Hoke,Fall 2017,35.0238,-79.2598,80,12
Fall 2017,2017,37091,Fall,9/5/17,1,Hertford,Fall 2017,36.3931,-77.031,77,15
Fall 2017,2017,37089,Fall,9/5/17,1,Henderson,Fall 2017,35.3228,-82.4741,24,108
Fall 2017,2017,37087,Fall,9/5/17,1,Haywood,Fall 2017,35.5419,-82.9658,63,23
Fall 2017,2017,37085,Fall,9/5/17,1,Harnett,Fall 2017,35.3877,-78.839,32,82
Fall 2017,2017,37083,Fall,9/5/17,1,Halifax,Fall 2017,36.2584,-77.6848,47,46
Fall 2017,2017,37081,Fall,9/5/17,1,Guilford,Fall 2017,36.0738,-79.7901,4,1006
Fall 2017,2017,37079,Fall,9/5/17,1,Greene,Fall 2017,35.4999,-77.6675,92,6
Fall 2017,2017,37077,Fall,9/5/17,1,Granville,Fall 2017,36.2968,-78.6558,39,65
Fall 2017,2017,37075,Fall,9/5/17,1,Graham,Fall 2017,35.342,-83.8333,98,3
Fall 2017,2017,37073,Fall,9/5/17,1,Gates,Fall 2017,36.4284,-76.7105,92,6
Fall 2017,2017,37071,Fall,9/5/17,1,Gaston,Fall 2017,35.2834,-81.1822,14,233
Fall 2017,2017,37069,Fall,9/5/17,1,Franklin,Fall 2017,36.0416,-78.3303,52,39
Fall 2017,2017,37067,Fall,9/5/17,1,Forsyth,Fall 2017,36.1176,-80.2522,5,635
Fall 2017,2017,37065,Fall,9/5/17,1,Edgecombe,Fall 2017,35.9136,-77.578,68,22
Fall 2017,2017,37063,Fall,9/5/17,1,Durham,Fall 2017,36.0511,-78.8681,6,577
Fall 2017,2017,37061,Fall,9/5/17,1,Duplin,Fall 2017,34.951,-77.9078,50,40
Fall 2017,2017,37059,Fall,9/5/17,1,Davie,Fall 2017,35.9021,-80.5375,43,58
Fall 2017,2017,37057,Fall,9/5/17,1,Davidson,Fall 2017,35.7656,-80.2531,20,144
Fall 2017,2017,37055,Fall,9/5/17,1,Dare,Fall 2017,35.7741,-75.8627,40,62
Fall 2017,2017,37053,Fall,9/5/17,1,Currituck,Fall 2017,36.3115,-75.9312,63,23
Fall 2017,2017,37051,Fall,9/5/17,1,Cumberland,Fall 2017,35.051,-78.8717,9,385
Fall 2017,2017,37049,Fall,9/5/17,1,Craven,Fall 2017,35.2382,-77.1841,27,98
Fall 2017,2017,37047,Fall,9/5/17,1,Columbus,Fall 2017,34.215,-78.6198,63,23
Fall 2017,2017,37045,Fall,9/5/17,1,Cleveland,Fall 2017,35.3743,-81.5594,28,94
Fall 2017,2017,37043,Fall,9/5/17,1,Clay,Fall 2017,35.0738,-83.7498,89,8
Fall 2017,2017,37041,Fall,9/5/17,1,Chowan,Fall 2017,36.1793,-76.6506,73,17
Fall 2017,2017,37039,Fall,9/5/17,1,Cherokee,Fall 2017,35.1398,-84.0769,71,18
Fall 2017,2017,37037,Fall,9/5/17,1,Chatham,Fall 2017,35.678,-79.2599,17,173
Fall 2017,2017,37035,Fall,9/5/17,1,Catawba,Fall 2017,35.6888,-81.2042,15,216
Fall 2017,2017,37033,Fall,9/5/17,1,Caswell,Fall 2017,36.3928,-79.3352,84,9
Fall 2017,2017,37031,Fall,9/5/17,1,Carteret,Fall 2017,34.8384,-76.6488,38,67
Fall 2017,2017,37029,Fall,9/5/17,1,Camden,Fall 2017,36.3576,-76.171,80,12
Fall 2017,2017,37027,Fall,9/5/17,1,Caldwell,Fall 2017,35.9399,-81.5596,37,70
Fall 2017,2017,37025,Fall,9/5/17,1,Cabarrus,Fall 2017,35.3455,-80.5464,11,322
Fall 2017,2017,37023,Fall,9/5/17,1,Burke,Fall 2017,35.7795,-81.7535,26,100
Fall 2017,2017,37021,Fall,9/5/17,1,Buncombe,Fall 2017,35.6207,-82.5391,8,416
Fall 2017,2017,37019,Fall,9/5/17,1,Brunswick,Fall 2017,34.1198,-78.2512,30,89
Fall 2017,2017,37017,Fall,9/5/17,1,Bladen,Fall 2017,34.6121,-78.5716,77,15
Fall 2017,2017,37015,Fall,9/5/17,1,Bertie,Fall 2017,36.03,-76.985,84,9
Fall 2017,2017,37013,Fall,9/5/17,1,Beaufort,Fall 2017,35.4781,-76.6975,59,28
Fall 2017,2017,37011,Fall,9/5/17,1,Avery,Fall 2017,36.0994,-81.9277,80,12
Fall 2017,2017,37009,Fall,9/5/17,1,Ashe,Fall 2017,36.4146,-81.4996,73,17
Fall 2017,2017,37007,Fall,9/5/17,1,Anson,Fall 2017,35.0087,-80.0992,84,9
Fall 2017,2017,37005,Fall,9/5/17,1,Alleghany,Fall 2017,36.4705,-81.1261,90,7
Fall 2017,2017,37003,Fall,9/5/17,1,Alexander,Fall 2017,35.9161,-81.181,63,23
Fall 2017,2017,37001,Fall,9/5/17,1,Alamance,Fall 2017,36.0473,-79.4006,13,238