"County","order","Term","Rank","Headcount"
"Alamance",2,"Fall 2017",13,238
"Alexander",25,"Fall 2017",63,23
"Alleghany",22,"Fall 2017",90,7
"Anson",43,"Fall 2017",84,9
"Ashe",92,"Fall 2017",73,17
"Avery",30,"Fall 2017",80,12
"Beaufort",13,"Fall 2017",59,28
"Bertie",66,"Fall 2017",84,9
"Bladen",57,"Fall 2017",77,15
"Brunswick",93,"Fall 2017",30,89
"Buncombe",87,"Fall 2017",8,416
"Burke",79,"Fall 2017",26,100
"Cabarrus",18,"Fall 2017",11,322
"Caldwell",7,"Fall 2017",37,70
"Camden",19,"Fall 2017",80,12
"Carteret",21,"Fall 2017",38,67
"Caswell",37,"Fall 2017",84,9
"Catawba",59,"Fall 2017",15,216
"Chatham",1,"Fall 2017",17,173
"Cherokee",58,"Fall 2017",71,18
"Chowan",86,"Fall 2017",73,17
"Clay",98,"Fall 2017",89,8
"Cleveland",31,"Fall 2017",28,94
"Columbus",100,"Fall 2017",63,23
"Craven",45,"Fall 2017",27,98
"Cumberland",15,"Fall 2017",9,385
"Currituck",84,"Fall 2017",63,23
"Dare",99,"Fall 2017",40,62
"Davidson",3,"Fall 2017",20,144
"Davie",81,"Fall 2017",43,58
"Duplin",47,"Fall 2017",50,40
"Durham",8,"Fall 2017",6,577
"Edgecombe",75,"Fall 2017",68,22
"Forsyth",33,"Fall 2017",5,635
"Franklin",4,"Fall 2017",52,39
"Gaston",64,"Fall 2017",14,233
"Gates",40,"Fall 2017",92,6
"Graham",39,"Fall 2017",98,3
"Granville",34,"Fall 2017",39,65
"Greene",68,"Fall 2017",92,6
"Guilford",49,"Fall 2017",4,1006
"Halifax",26,"Fall 2017",47,46
"Harnett",55,"Fall 2017",32,82
"Haywood",48,"Fall 2017",63,23
"Henderson",90,"Fall 2017",24,108
"Hertford",52,"Fall 2017",77,15
"Hoke",17,"Fall 2017",80,12
"Hyde",63,"Fall 2017",95,5
"Iredell",51,"Fall 2017",12,274
"Jackson",50,"Fall 2017",55,35
"Johnston",65,"Fall 2017",18,158
"Jones",85,"Fall 2017",97,4
"Lee",56,"Fall 2017",36,71
"Lenoir",38,"Fall 2017",49,41
"Lincoln",6,"Fall 2017",25,103
"Macon",61,"Fall 2017",58,29
"Madison",10,"Fall 2017",76,16
"Martin",89,"Fall 2017",83,11
"Mcdowell",82,"Fall 2017",62,24
"Mecklenburg",76,"Fall 2017",2,2021
"Mitchell",73,"Fall 2017",95,5
"Montgomery",94,"Fall 2017",71,18
"Moore",32,"Fall 2017",21,140
"Nash",91,"Fall 2017",29,93
"New Hanover",69,"Fall 2017",10,383
"Northampton",12,"Fall 2017",79,13
"Onslow",74,"Fall 2017",19,152
"Orange",44,"Fall 2017",3,1304
"Pamlico",36,"Fall 2017",84,9
"Pasquotank",23,"Fall 2017",69,21
"Pender",71,"Fall 2017",42,60
"Perquimans",62,"Fall 2017",100,1
"Person",9,"Fall 2017",56,34
"Pitt",70,"Fall 2017",16,198
"Polk",53,"Fall 2017",57,33
"Randolph",11,"Fall 2017",22,139
"Richmond",16,"Fall 2017",54,36
"Robeson",5,"Fall 2017",41,61
"Rockingham",88,"Fall 2017",35,76
"Rowan",14,"Fall 2017",23,109
"Rutherford",41,"Fall 2017",45,54
"Sampson",27,"Fall 2017",47,46
"Scotland",54,"Fall 2017",70,19
"Stanly",67,"Fall 2017",50,40
"Stokes",20,"Fall 2017",63,23
"Surry",97,"Fall 2017",33,80
"Swain",29,"Fall 2017",92,6
"Transylvania",96,"Fall 2017",60,27
"Tyrrell",60,"Fall 2017",99,2
"Union",72,"Fall 2017",7,552
"Vance",95,"Fall 2017",46,51
"Wake",83,"Fall 2017",1,2910
"Warren",35,"Fall 2017",73,17
"Washington",42,"Fall 2017",90,7
"Watauga",28,"Fall 2017",44,55
"Wayne",80,"Fall 2017",30,89
"Wilkes",24,"Fall 2017",53,37
"Wilson",46,"Fall 2017",34,79
"Yadkin",78,"Fall 2017",60,27
"Yancey",77,"Fall 2017",84,9
"Alamance",2,"Fall 2018",12,269
"Alexander",25,"Fall 2018",68,22
"Alleghany",22,"Fall 2018",94,5
"Anson",43,"Fall 2018",91,8
"Ashe",92,"Fall 2018",64,24
"Avery",30,"Fall 2018",71,18
"Beaufort",13,"Fall 2018",57,35
"Bertie",66,"Fall 2018",82,11
"Bladen",57,"Fall 2018",75,15
"Brunswick",93,"Fall 2018",30,85
"Buncombe",87,"Fall 2018",8,422
"Burke",79,"Fall 2018",34,80
"Cabarrus",18,"Fall 2018",11,332
"Caldwell",7,"Fall 2018",35,75
"Camden",19,"Fall 2018",82,11
"Carteret",21,"Fall 2018",38,71
"Caswell",37,"Fall 2018",88,9
"Catawba",59,"Fall 2018",15,210
"Chatham",1,"Fall 2018",16,176
"Cherokee",58,"Fall 2018",80,12
"Chowan",86,"Fall 2018",71,18
"Clay",98,"Fall 2018",77,14
"Cleveland",31,"Fall 2018",25,107
"Columbus",100,"Fall 2018",59,34
"Craven",45,"Fall 2018",28,96
"Cumberland",15,"Fall 2018",10,362
"Currituck",84,"Fall 2018",70,20
"Dare",99,"Fall 2018",39,69
"Davidson",3,"Fall 2018",21,140
"Davie",81,"Fall 2018",44,58
"Duplin",47,"Fall 2018",46,49
"Durham",8,"Fall 2018",5,591
"Edgecombe",75,"Fall 2018",68,22
"Forsyth",33,"Fall 2018",6,566
"Franklin",4,"Fall 2018",50,43
"Gaston",64,"Fall 2018",14,255
"Gates",40,"Fall 2018",94,5
"Graham",39,"Fall 2018",98,2
"Granville",34,"Fall 2018",42,66
"Greene",68,"Fall 2018",88,9
"Guilford",49,"Fall 2018",4,1025
"Halifax",26,"Fall 2018",47,48
"Harnett",55,"Fall 2018",29,90
"Haywood",48,"Fall 2018",64,24
"Henderson",90,"Fall 2018",27,101
"Hertford",52,"Fall 2018",82,11
"Hoke",17,"Fall 2018",88,9
"Hyde",63,"Fall 2018",93,6
"Iredell",51,"Fall 2018",13,268
"Jackson",50,"Fall 2018",55,37
"Johnston",65,"Fall 2018",18,160
"Jones",85,"Fall 2018",97,4
"Lee",56,"Fall 2018",36,73
"Lenoir",38,"Fall 2018",51,40
"Lincoln",6,"Fall 2018",24,116
"Macon",61,"Fall 2018",63,26
"Madison",10,"Fall 2018",79,13
"Martin",89,"Fall 2018",77,14
"Mcdowell",82,"Fall 2018",60,29
"Mecklenburg",76,"Fall 2018",2,2054
"Mitchell",73,"Fall 2018",85,10
"Montgomery",94,"Fall 2018",71,18
"Moore",32,"Fall 2018",20,142
"Nash",91,"Fall 2018",31,84
"New Hanover",69,"Fall 2018",9,372
"Northampton",12,"Fall 2018",80,12
"Onslow",74,"Fall 2018",19,147
"Orange",44,"Fall 2018",3,1321
"Pamlico",36,"Fall 2018",85,10
"Pasquotank",23,"Fall 2018",71,18
"Pender",71,"Fall 2018",41,67
"Perquimans",62,"Fall 2018",98,2
"Person",9,"Fall 2018",54,38
"Pitt",70,"Fall 2018",16,176
"Polk",53,"Fall 2018",61,28
"Randolph",11,"Fall 2018",22,132
"Richmond",16,"Fall 2018",51,40
"Robeson",5,"Fall 2018",40,68
"Rockingham",88,"Fall 2018",32,83
"Rowan",14,"Fall 2018",23,117
"Rutherford",41,"Fall 2018",43,60
"Sampson",27,"Fall 2018",48,47
"Scotland",54,"Fall 2018",64,24
"Stanly",67,"Fall 2018",51,40
"Stokes",20,"Fall 2018",57,35
"Surry",97,"Fall 2018",33,81
"Swain",29,"Fall 2018",94,5
"Transylvania",96,"Fall 2018",62,27
"Tyrrell",60,"Fall 2018",98,2
"Union",72,"Fall 2018",7,558
"Vance",95,"Fall 2018",49,44
"Wake",83,"Fall 2018",1,3030
"Warren",35,"Fall 2018",75,15
"Washington",42,"Fall 2018",91,8
"Watauga",28,"Fall 2018",44,58
"Wayne",80,"Fall 2018",26,106
"Wilkes",24,"Fall 2018",55,37
"Wilson",46,"Fall 2018",36,73
"Yadkin",78,"Fall 2018",67,23
"Yancey",77,"Fall 2018",85,10
